Service,EU
C3cereals,
C3starchyroots,
C3oilcrops,
C3pulses,
C3fruitveg,
C4crops,
Foddercrops,
Pasture,
SusProd,
BioenergyG1,
BioenergyG2,
Softwood,
Hardwood,
SolarEnergy,
FloodControl,
SoilRetention,
Pollination_disp,
Biodiversity,
Ldiversity,
Carbon,
Employment,
Recreation,
CulturalLand,
Identity,
ExpInsp,
